ID	zone	building	time	Bface	position	baitType	empty	tap_mag	tap_err	las_nig	las_ema	myr_spe	myr_sab	myr_sch	myr_gra	tet_sp	sol_fug	for_cun	for_ruf	for_fus	pla_pyg	tem_sp
S1morningNA1miel	invaded	S1	morning	N	A1	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNA1thon	invaded	S1	morning	N	A1	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNA2miel	invaded	S1	morning	N	A2	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNA2thon	invaded	S1	morning	N	A2	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNA3miel	invaded	S1	morning	N	A3	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNA3thon	invaded	S1	morning	N	A3	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNA4miel	invaded	S1	morning	N	A4	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNA4thon	invaded	S1	morning	N	A4	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNA5miel	invaded	S1	morning	N	A5	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNA5thon	invaded	S1	morning	N	A5	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNB1miel	invaded	S1	morning	N	B1	miel	no	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
S1morningNB1thon	invaded	S1	morning	N	B1	thon	no	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
S1morningNB2miel	invaded	S1	morning	N	B2	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNB2thon	invaded	S1	morning	N	B2	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNB3miel	invaded	S1	morning	N	B3	miel	no	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNB3thon	invaded	S1	morning	N	B3	thon	no	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNB4miel	invaded	S1	morning	N	B4	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNB4thon	invaded	S1	morning	N	B4	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNB5miel	invaded	S1	morning	N	B5	miel	no	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
S1morningNB5thon	invaded	S1	morning	N	B5	thon	no	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEA1miel	invaded	S1	morning	E	A1	miel	no	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEA1thon	invaded	S1	morning	E	A1	thon	no	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEA2miel	invaded	S1	morning	E	A2	miel	no	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEA2thon	invaded	S1	morning	E	A2	thon	no	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEA3miel	invaded	S1	morning	E	A3	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEA3thon	invaded	S1	morning	E	A3	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEA4miel	invaded	S1	morning	E	A4	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEA4thon	invaded	S1	morning	E	A4	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEA5miel	invaded	S1	morning	E	A5	miel	no	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEA5thon	invaded	S1	morning	E	A5	thon	no	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEB1miel	invaded	S1	morning	E	B1	miel	no	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEB1thon	invaded	S1	morning	E	B1	thon	no	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEB2miel	invaded	S1	morning	E	B2	miel	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEB2thon	invaded	S1	morning	E	B2	thon	no	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEB3miel	invaded	S1	morning	E	B3	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEB3thon	invaded	S1	morning	E	B3	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEB4miel	invaded	S1	morning	E	B4	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEB4thon	invaded	S1	morning	E	B4	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningEB5miel	invaded	S1	morning	E	B5	miel	no	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
S1morningEB5thon	invaded	S1	morning	E	B5	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA1miel	invaded	S1	morning	S	A1	miel	no	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA1thon	invaded	S1	morning	S	A1	thon	no	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA2miel	invaded	S1	morning	S	A2	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA2thon	invaded	S1	morning	S	A2	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA3miel	invaded	S1	morning	S	A3	miel	no	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA3thon	invaded	S1	morning	S	A3	thon	no	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA4miel	invaded	S1	morning	S	A4	miel	no	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA4thon	invaded	S1	morning	S	A4	thon	no	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA5miel	invaded	S1	morning	S	A5	miel	no	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSA5thon	invaded	S1	morning	S	A5	thon	no	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB1miel	invaded	S1	morning	S	B1	miel	no	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB1thon	invaded	S1	morning	S	B1	thon	no	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB2miel	invaded	S1	morning	S	B2	miel	no	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB2thon	invaded	S1	morning	S	B2	thon	no	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB3miel	invaded	S1	morning	S	B3	miel	no	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB3thon	invaded	S1	morning	S	B3	thon	no	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB4miel	invaded	S1	morning	S	B4	miel	no	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB4thon	invaded	S1	morning	S	B4	thon	no	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB5miel	invaded	S1	morning	S	B5	miel	no	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0
S1morningSB5thon	invaded	S1	morning	S	B5	thon	no	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA1miel	invaded	S1	morning	W	A1	miel	no	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA1thon	invaded	S1	morning	W	A1	thon	no	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
S1morningWA2miel	invaded	S1	morning	W	A2	miel	no	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA2thon	invaded	S1	morning	W	A2	thon	no	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA3miel	invaded	S1	morning	W	A3	miel	no	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA3thon	invaded	S1	morning	W	A3	thon	no	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA4miel	invaded	S1	morning	W	A4	miel	no	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA4thon	invaded	S1	morning	W	A4	thon	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1morningWA5miel	invaded	S1	morning	W	A5	miel	no	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
