ID	Batiment	Momentjour	Face	Emplacement	Bait	Age_building	Date	Tunder_mean	Tground_mean	xcoord	ycoord
S10afternoonEA1miel	S10	afternoon	E	A1	miel	45	3	28.1	28.7	729564.2572	5832030.883
S10afternoonEA1thon	S10	afternoon	E	A1	thon	45	3	28.1	28.7	729564.2572	5832030.883
S10afternoonEA2miel	S10	afternoon	E	A2	miel	45	3	28.1	28.7	729564.2572	5832025.996
S10afternoonEA2thon	S10	afternoon	E	A2	thon	45	3	28.1	28.7	729564.2572	5832025.996
S10afternoonEA3miel	S10	afternoon	E	A3	miel	45	3	28.1	28.7	729563.7272	5832005.447
S10afternoonEA3thon	S10	afternoon	E	A3	thon	45	3	28.1	28.7	729563.7272	5832005.447
S10afternoonEA4miel	S10	afternoon	E	A4	miel	45	3	28.1	28.7	729563.7861	5832001.384
S10afternoonEA4thon	S10	afternoon	E	A4	thon	45	3	28.1	28.7	729563.7861	5832001.384
S10afternoonEA5miel	S10	afternoon	E	A5	miel	45	3	28.1	28.7	729563.6095	5831997.38
S10afternoonEA5thon	S10	afternoon	E	A5	thon	45	3	28.1	28.7	729563.6095	5831997.38
S10afternoonEB1miel	S10	afternoon	E	B1	miel	45	3	28.1	28.7	729569.2031	5832030.707
S10afternoonEB1thon	S10	afternoon	E	B1	thon	45	3	28.1	28.7	729569.2031	5832030.707
S10afternoonEB2miel	S10	afternoon	E	B2	miel	45	3	28.1	28.7	729569.2031	5832025.937
S10afternoonEB2thon	S10	afternoon	E	B2	thon	45	3	28.1	28.7	729569.2031	5832025.937
S10afternoonEB3miel	S10	afternoon	E	B3	miel	45	3	28.1	28.7	729569.9097	5832005.506
S10afternoonEB3thon	S10	afternoon	E	B3	thon	45	3	28.1	28.7	729569.9097	5832005.506
S10afternoonEB4miel	S10	afternoon	E	B4	miel	45	3	28.1	28.7	729569.3797	5832001.149
S10afternoonEB4thon	S10	afternoon	E	B4	thon	45	3	28.1	28.7	729569.3797	5832001.149
S10afternoonEB5miel	S10	afternoon	E	B5	miel	45	3	28.1	28.7	729567.9666	5831996.438
S10afternoonEB5thon	S10	afternoon	E	B5	thon	45	3	28.1	28.7	729567.9666	5831996.438
S10afternoonNA1miel	S10	afternoon	N	A1	miel	45	3	22.1	22.4	729538.4892	5832031.752
S10afternoonNA1thon	S10	afternoon	N	A1	thon	45	3	22.1	22.4	729538.4892	5832031.752
S10afternoonNA2miel	S10	afternoon	N	A2	miel	45	3	22.1	22.4	729543.7885	5832031.693
